name,edition,type,price,rating
Madre Mezcal,Madre Mezcal,Mezcal,48.99,7.3
Brugal,Brugal 1888 Rum,Rum,40.99,8
Madre Mezcal,Madre Mezcal (200ml),Mezcal,22.99,7.5
Arran,Arran 10 Year Old Whisky,Scotch,44.99,7.3
Hendrick's Gin,Hendrick's Gin,Gin,34.99,8.4
Merlet,Merlet Brothers Blend Cognac,Cognac,37.99,8
Hennessy,Hennessy XO,Cognac,187.99,8.9
Oxley,Oxley Gin,Gin,36.99,8.7
Beefeater,Beefeater London Dry Gin,Gin,19.99,7.3
Sipsmith,Sipsmith Sloe Gin,Gin,43.99,7.8
Beefeater,Beefeater London Dry Gin 24,Gin,27.99,8.4
Banks,Banks 5 Island Rum,Rum,29.99,7.5
Varela Hermanos SA,Ron Abuelo 12 Year Old Rum,Rum,40.99,7.7
Mount Gay,Mount Gay XO Reserve Cask,Rum,51.99,7.8
Flor de Caña,Flor de Caña 4 Year Extra Seco,Rum,19.99,8.3
Compass Box,Compass Box Spice Tree,Scotch,64.99,7.3
Dewar's,Dewar's White Label,Scotch,22.99,7.1
Jameson,Jameson 18 Year Old Limited Reserve,Irish Whiskey,138.99,8.6
Johnnie Walker,Johnnie Walker Gold Label Reserve,Scotch,52.99,7.9
Elijah Craig,Elijah Craig Single Barrel 18 Year Old Bourbon,Bourbon,286.99,8.3
Four Roses,Four Roses Yellow Label Original Bourbon,Bourbon,19.99,7.2
Noah's Mill,Noah's Mill Small Batch Bourbon,Bourbon,56.99,8.1
Bain's,Bain's Cape Mountain Single Grain Whisky,South African Whisky,30.99,7.7
Glenfiddich,Glenfiddich 15 Year Old Solera Reserve,Scotch,60.99,8.1
Inchmurrin,Inchmurrin 12 Year Old,Scotch,84.99,7.2
Penderyn,Penderyn Single Malt Whisky,Welsh Whisky,107.99,7.2
Aberlour,Aberlour 18 Year Old,Scotch,125.99,8.9
Laphroaig,Laphroaig 25 Year Old,Scotch,447.99,9.8
Bushmills,Bushmills 10 Year Old,Irish Whiskey,47.99,7.1
Aberfeldy,Aberfeldy 12 Year Old,Scotch,43.99,8
Glenmorangie,Glenmorangie Nectar D'Or,Scotch,80.99,8.2
Tyrconnell,Tyrconnell 10 Year Old Madeira Cask Finish,Irish Whiskey,64.99,8.2
Amrut,Amrut Peated Single Malt Whisky,Indian Whisky,79.99,7.7
Tyrconnell,Tyrconnell Single Malt Irish Whiskey,Irish Whiskey,43.99,7.7
Laphroaig,Laphroaig 10 Year Old,Scotch,47.99,7.9
Tyrconnell,Tyrconnell 10 Year Old Port Cask Finish,Irish Whiskey,76.99,7.8
Bernheim,Bernheim Original,American Whiskey,30.99,7.5
Arette,Arette Gran Clase Extra Añejo,Tequila,113.99,8.7
Elit,Elit Vodka,Vodka,47.99,8.3
Chopin,Chopin Potato Vodka,Vodka,24.99,9.1
High West,High West Double Rye,Rye,31.99,7.7
Elephant,Elephant Gin,Gin,42.99,9.2
Banks,Banks 7 Golden Age Rum,Rum,32.99,7.9
Lagavulin,Lagavulin Distillers Edition,Scotch,147.99,8.7
La Hechicera,La Hechicera Fine Aged Rum,Rum,47.99,8
Glendalough,Glendalough Poitin 40,Moonshine,38.99,7.2
Aberlour,Aberlour A'bunadh,Scotch,90.99,8.5
Delord,Delord Bas Armagnac 25 Year Old,Brandy,82.99,7.5
Bloom,Bloom London Dry Gin,Gin,35.99,8.5
St. George,St. George Raspberry Brandy,Brandy,37.99,5.5
NY Distilling Co.,Perry's Tot Navy Strength Gin,Gin,22.99,7.5
The Macallan,The Macallan Estate Reserve,Scotch,219.99,9.2
Roots,Roots Rakomelo,Liqueur,40.99,8.7
The Glenrothes,The Glenrothes 25 Year Old,Scotch,567.99,6.9
Balcones,Balcones True Blue 100 Proof,American Whiskey,53.99,8.2
Glengoyne,Glengoyne 18 Year Old,Scotch,135.99,8.7
Torres,Torres 30 Jaime I. Brandy Reserva de la Famiglia,Brandy,118.99,8.1
Michter's,Michter's US* Single Barrel Straight Rye Whiskey,Rye,42.99,7.7
The Irishman,The Irishman 12 Year Old Single Malt Irish Whiskey,Irish Whiskey,70.99,7.7
Paul John,Paul John Edited,Indian Whisky,62.99,7.8
Chopin,Chopin Wheat Vodka,Vodka,24.99,9.8
Johnny Drum,Johnny Drum Private Stock,American Whiskey,33.99,7.6
ArArAt,Ararat Akhtamar 10 Year Old,Brandy,39.99,7.2
Singleton,Singleton of Dufftown 18 Year Old,Scotch,61.99,8.2
Paul John,Paul John Peated Select Cask,Indian Whisky,103.99,6.3
Dry Fly,Dry Fly Straight Washington Bourbon 101,Bourbon,37.99,7.1
Tomatin,Tomatin 14 Year Old Port Wood Finish,Scotch,75.99,7.8
Tullibardine,Tullibardine 500 Sherry Cask Finish,Scotch,54.99,7.6
Olmeca Altos,Olmeca Altos Tequila Reposado,Tequila,25.99,7.9
Leblon,Leblon Cachaça,Cachaça,27.99,6.9
Black Bull,Black Bull 12 Year Old,Scotch,50.99,7.3
Jack Ryan,Jack Ryan Beggars Bush 12 Year Old Single Malt Irish Whiskey,Irish Whiskey,81.99,8.1
Olmeca Altos,Olmeca Altos Plata,Tequila,26.99,7.5
Rowan's Creek,Rowan's Creek Straight Kentucky Bourbon,Bourbon,41.99,7.9
The Irishman,The Irishman Cask Strength,Irish Whiskey,199.99,8.5
Teeling,Teeling Single Malt Irish Whiskey,Irish Whiskey,53.99,7.7
Craigellachie,Craigellachie 17 Year Old,Scotch,138.99,9.3
Pusser's,Pusser's British Navy Gunpowder Proof,Rum,41.99,7.6
Barsol,Barsol Supremo Mosto Verde Torontel,Grappa,44.99,6.7
Old Forester,Old Forester Bourbon,Bourbon,22.99,7.2
Dry Fly,Dry Fly Straight Triticale Whiskey (44% ABV),American Whiskey,38.99,7.6
Chairman's Reserve,Chairman's Reserve The Forgotten Casks,Rum,48.99,7.7
Chase,Chase Elderflower Liqueur,Liqueur,27.99,8.9
Dewar's,Dewar's 12 Year Old,Scotch,26.99,7.2
Don Julio,Don Julio 1942 Anejo Tequila,Tequila,135.99,9
Michter's,Michter's US*1 Sour Mash Whiskey,American Whiskey,47.99,8.3
Bastille 1789,Bastille 1789 Handcrafted French Whisky,French Whisky,36.99,6.8
Greenhook Ginsmiths,Greenhook Ginsmiths Old Tom Gin,Gin,46.99,9
Agave Loco,Agave Loco Pepper Cured Tequila Resposado,Tequila,37.99,6.7
Riazul,Riazul Tequila Añejo,Tequila,57.99,8.8
Partida Tequila,Partida Elegante Tequila Extra Anejo,Tequila,336.99,9
Excellia,Excellia Tequila Reposado,Tequila,64.99,7.7
Tapatio,Tapatio Tequila Reposado,Tequila,49.99,8.1
Casamigos,Casamigos Tequila Reposado,Tequila,47.99,8.3
Casa Dragones,Casa Dragones Tequila Joven,Tequila,251.99,7.8
Fidencio,Fidencio Clasico Joven Mezcal,Mezcal,41.99,7.6
Avion,Avion Tequila Silver,Tequila,37.99,7.8
